G1	G2	G3	G4	G5	G6	G9
8.8699580	2.0536487	8.5312851	2.1129133	3.5165786	0.5093853	1.5633228
9.1829908	1.6725624	9.1207713	2.3934143	3.2343952	0.5658318	1.4944451
8.5589060	1.8346293	9.5589173	2.2539184	3.2463098	0.4799451	1.4665337
9.1127713	1.5479105	8.9630714	2.1762287	3.5065565	0.5462190	1.5643368
8.4259884	1.5509465	8.5391716	2.1091369	3.4980440	0.4831650	1.5753876
8.2096248	1.8620634	8.9211245	2.1558892	3.4958875	0.5127493	1.5822227
8.9174375	1.6627856	8.9708827	2.1528694	3.3018983	0.4438298	1.4711166
8.8518046	1.7611857	8.5416705	2.1383501	3.3009745	0.5460533	1.4146853
8.7525604	1.7554716	9.0891535	2.0171566	3.4866500	0.5406431	1.8180748
9.5112999	1.6246934	8.5392783	2.1455828	3.2677446	0.5973626	1.5967078
8.6659476	1.7644020	9.0892161	2.0516108	3.4936228	0.5685504	1.5171700
9.2031329	1.6253666	9.0913574	2.1370496	3.7336197	0.5471833	1.5522522
7.9764273	1.7257957	9.2550780	2.1542265	3.3663412	0.5369412	1.4788654
9.5070264	1.6746906	8.4515225	2.1843389	3.1704909	0.5172020	1.5018430
8.7885051	1.8928017	8.4653444	2.0751347	2.8805914	0.5176978	1.5743814
8.3957304	1.7037121	8.8693869	2.1023452	3.3995907	0.6359797	1.5557630
7.9375657	1.7540482	8.8162063	2.1114609	3.3218203	0.4687140	1.4955430
8.4513671	1.4877422	8.5846469	1.8373040	3.5541018	0.4812703	1.5000355
8.7885734	1.5891771	9.2357873	1.9681419	3.3535592	0.4920627	1.4418246
9.0231860	1.8267205	9.8432077	2.1786318	3.2961866	0.6464240	1.5353335
9.0385689	1.7835730	9.4660015	2.3505041	3.1772849	0.4832280	1.5914683
8.9047174	1.5498128	9.2683297	1.9324983	3.3034687	0.4833495	1.5406888
8.7333376	1.6155331	9.1306401	2.4160297	3.2255150	0.4930650	1.4712102
9.1451603	1.6405613	8.9610152	2.1476103	3.5980309	0.6382587	1.4694794
8.4995227	1.9343445	8.6510950	2.0538053	3.2709178	0.4978013	1.6911527
9.2840777	1.7841493	9.1975999	2.1049372	3.3775581	0.5030524	1.4386572
9.3754063	1.6792513	9.1920406	2.1704135	3.3599085	0.4854472	1.3948759
8.5488254	1.5741660	8.8493950	2.2053062	3.1522736	0.4779821	1.5747915
9.1051542	2.0604302	8.6210431	2.0646130	3.3841269	0.4001793	1.4344880
8.7747650	1.6946897	9.1523590	2.1766113	3.2906756	0.5586990	1.5447699
9.2174884	1.8449065	9.6102226	2.1538207	3.5629583	0.6450276	1.5987451
9.0612743	1.6480040	8.7684314	2.2195631	3.6060929	0.5107251	1.4497947
8.6464225	1.6192029	8.3320979	2.2491953	3.5193232	0.5623210	1.5791148
8.5580837	1.8788345	8.6520580	1.9371012	3.5391694	0.5261795	1.6867095
9.0978715	1.7265988	9.0418406	2.1340694	3.1749817	0.4402302	1.6695341
8.7459797	1.6110446	8.1002587	2.2538855	3.2561483	0.5218673	1.7272221
8.1747545	1.8853322	9.0738466	2.1634371	3.1794083	0.4533609	1.6157315
8.6255535	1.5915983	8.3482384	1.9246141	3.0960779	0.4668974	1.4721617
9.5150717	1.8891057	8.5900450	2.0484048	3.1818789	0.3933076	1.4990790
8.5255059	1.6739618	8.5919123	2.0485457	3.7953321	0.5077736	1.5210986
9.1033684	1.6152595	9.3524576	2.0025800	3.3400087	0.4518390	1.5824553
8.9271156	1.5772220	7.9983500	1.9569750	3.3659746	0.5016152	1.6160046
8.8466322	1.7612194	7.9589553	1.9970486	3.3951402	0.4277214	1.7134872
8.2987222	1.6900236	8.6666992	2.1560877	3.5536165	0.4890676	1.6258864
8.2200009	1.5892539	9.2939267	2.0156289	3.1396258	0.5253112	1.5311325
9.0935588	1.7417010	8.8730892	2.1020747	3.4248920	0.5072497	1.7454702
9.2391781	1.9070484	8.9596057	2.0920201	3.1728831	0.5120123	1.4477511
8.6700643	1.6407121	8.8882834	2.4577903	3.1107677	0.5352165	1.8997794
9.3178243	1.6730622	8.4001450	2.1917941	3.1689243	0.4857880	1.4550892
8.9081811	1.5531988	8.9821775	2.3898002	3.3945764	0.4482423	1.3098277
9.0144366	1.7499443	8.8771486	2.1268505	3.1084491	0.4842640	1.5066737
9.5407681	1.5864335	8.1961821	2.0888436	3.3565449	0.5483287	1.6377375
8.4047251	1.5915991	8.9487889	2.2654951	3.0806801	0.4317254	1.6621136
8.2807101	1.6049453	9.2568221	1.9578732	3.2712734	0.5204741	1.4753577
8.8274342	1.6902588	8.9872301	2.0921394	3.3481757	0.5600670	1.4848777
7.9557493	1.8184473	8.5316545	2.0925463	3.1719931	0.5143153	1.5490172
9.5015343	1.5923618	8.4289475	2.0922375	3.1764895	0.5393829	1.5191808
9.5789664	1.7865127	8.6024818	2.0779766	3.1949745	0.4994315	1.5562072
8.5204353	1.6215698	8.4011057	2.3626618	3.3646845	0.4428763	1.4609056
8.1180491	1.7398854	8.7633041	2.1068037	3.2399401	0.5374217	1.6358809
8.5187131	1.7471204	8.9012491	2.3511433	3.2068899	0.5599362	1.4661899
8.2278491	1.5737614	8.8394860	2.0684759	3.3236699	0.5169247	1.5363532
8.6032277	1.7882933	8.8644084	2.1041503	3.6318793	0.4066238	1.3638377
9.5883970	1.4905565	8.7415476	2.2727304	3.3985995	0.4702487	1.5899032
9.3278988	1.7733676	8.8536141	2.2053999	3.4231739	0.5755864	1.4411336
9.6833254	1.7777759	9.0609323	1.8954643	3.3541795	0.4481437	1.4853448
8.6985554	1.6519665	9.3282227	1.8865429	3.7733474	0.5531672	1.3915906
9.0361499	1.7965548	8.4929792	2.2542154	3.5191098	0.5473085	1.5577338
8.4479615	1.7868563	8.6658804	2.1791481	3.4526638	0.5819970	1.3986378
8.5837731	1.9266097	8.8707140	1.7696969	3.2355051	0.5428169	1.5087727
8.8195110	1.6923894	8.8466927	2.1926817	3.5984378	0.5505631	1.7877752
8.4265722	1.6312672	8.9778276	2.2935187	3.1724268	0.5390915	1.7765244
8.6381716	1.8888365	8.7303797	2.3298343	3.4448489	0.6332620	1.5272143
8.9319887	1.8050610	8.7680755	2.1442111	3.4886181	0.4141425	1.4113600
8.7413605	1.6438133	8.6515470	2.1054000	3.7277663	0.4662939	1.4030104
