G10	G7
0.0000000	0.0000000
0.0000000	0.1054701
0.0000000	0.1873903
0.0000000	0.2595821
0.0000000	0.4015142
0.0000000	0.4771727
0.0000000	0.6210361
0.0000000	0.6720158
0.0000000	0.8154169
0.0000000	0.8815902
0.0000000	1.1733624
0.0000000	1.0401286
0.0000000	0.8563322
0.0000000	1.0838858
0.0000000	1.0657938
0.0000000	0.8942335
0.0000000	0.8900420
0.0000000	1.1652628
0.0000000	1.0736416
0.0000000	1.1046872
0.0000000	0.9817398
0.1113311	0.0000000
0.0736191	0.0985895
0.0828646	0.1910254
0.0775395	0.2463170
0.0859996	0.3356731
0.1142945	0.3881865
0.0980061	0.6172748
0.1214158	0.6053379
0.1122953	0.6944451
0.0979398	0.9709923
0.0713383	0.8288090
0.1150725	1.0299238
0.1409861	0.8892568
0.1778809	0.9086368
0.0719716	0.9569798
0.1189864	1.0278125
0.0713162	1.0110912
0.0714955	0.9937716
0.1021506	0.8975499
0.1400010	0.9452555
0.1209275	0.9067636
0.2342785	0.0000000
0.2046417	0.0705648
0.1818120	0.2540104
0.1648602	0.2313259
0.2016716	0.4313625
0.1820260	0.5175252
0.1720984	0.5880767
0.2194932	0.8380107
0.2483998	0.8843833
0.1630597	1.0043379
0.1490288	1.0341916
0.1934646	1.0495981
0.1470124	1.0247368
0.1212795	1.1386476
0.2191115	1.1352082
0.1713899	1.1725768
0.3486454	0.8519767
0.1380148	0.8538299
0.2636664	0.9795403
0.1966765	0.8369529
0.1844083	0.9831939
0.2435712	0.0000000
0.3479099	0.0991552
0.2566252	0.2743990
0.3052681	0.3100803
0.2939639	0.4917529
0.4080852	0.4786886
0.2908150	0.8034938
0.3439727	0.6163271
0.3555147	0.7259957
0.2645484	0.9209354
0.2881080	1.2544826
0.3006076	0.8309367
0.3354054	1.0247011
0.3235387	1.3332092
0.3084450	0.9156655
0.3268859	0.9212531
0.3573218	1.0119663
0.2756860	1.0673062
0.3342236	1.1108796
0.3060965	1.0227218
0.3210133	1.0163411
0.3709481	0.0000000
0.2814634	0.0796595
0.4321365	0.2413078
0.4911196	0.3299549
0.4169809	0.4726112
0.3947133	0.4515444
0.4822768	0.5608676
0.4392079	0.7836252
0.4469300	0.8663914
0.4430917	0.8659267
0.3779619	1.1279358
0.4235194	1.0765421
0.3844659	0.8855072
0.3831190	0.9331911
0.4469486	0.9423349
0.3535575	1.0227895
0.4624667	0.9329300
0.4416611	0.8931987
0.4252650	0.9916816
0.3959677	0.9316993
0.3642387	1.0467529
0.5441697	0.0000000
0.4298675	0.1585485
0.5582451	0.1774696
0.4597424	0.3160158
0.5869993	0.3288993
0.4973630	0.4115957
0.4389798	0.6350868
0.5737935	0.7482543
0.5013752	0.7702252
0.4976856	0.8236490
0.4368539	1.0359734
0.4608042	1.0564283
0.4341454	0.9727147
0.4970157	1.0286427
0.4612085	0.7739842
0.3905745	0.9339652
0.4669191	0.8993485
0.5621958	0.9963393
0.5408212	1.0807644
0.5017795	1.1045587
0.4464021	1.0537462
0.5525854	0.0000000
0.6659494	0.0824073
0.7212967	0.2077732
0.5472124	0.3029792
0.5896879	0.3858686
0.5796824	0.5440617
0.5745273	0.6682495
0.6331612	0.7413906
0.4683360	0.7549143
0.5724316	0.8158226
0.6561196	1.0323448
0.5474746	1.0247598
